data,nivel cm,ARIMA_predistion,GARCH_prediction,ARIMA-LSTM_Pred
2021-08-25,630,537.0608054821387,,
2021-08-26,628,536.9441884743777,,
2021-08-27,624,536.8279241102757,,
2021-08-28,618,536.7120113234571,,
2021-08-29,615,536.5964490507705,,
2021-08-30,606,536.48123623228,,
2021-08-31,602,536.3663718112546,,
2021-09-01,596,536.2518547341587,,565.7505975633101
2021-09-02,590,536.1376839506426,,
2021-09-03,584,536.0238584135328,,
2021-09-04,576,535.9103770788226,,
2021-09-05,574,535.7972389056622,,
2021-09-06,771,535.684442856349,,
2021-09-07,568,535.5719878963189,,
2021-09-08,560,535.4598729941357,,
2021-09-09,558,535.3480971214826,,
2021-09-10,554,535.2366592531522,,
2021-09-11,552,535.1255583670373,,
2021-09-12,546,535.0147934441217,,
2021-09-13,544,534.9043634684701,,
2021-09-14,535,534.79426742722,,
2021-09-15,529,534.6845043105714,,
2021-09-16,518,534.5750731117778,,
2021-09-17,510,534.4659728271373,,
2021-09-18,505,534.357202455983,,
2021-09-19,500,534.248761000674,,
2021-09-20,494,534.1406474665861,,
2021-09-21,491,534.0328608621029,,
2021-09-22,486,533.9254001986067,,
2021-09-23,480,533.818264490469,,
2021-09-24,475,533.7114527550422,,
2021-09-25,469,533.6049640126498,,
2021-09-26,461,533.4987972865782,,
2021-09-27,454,533.3929516030669,,
2021-09-28,443,533.2874259913001,,
2021-09-29,432,533.1822194833981,,
2021-09-30,419,533.0773311144073,,
2021-10-01,409,532.9727599222929,,562.4715027514443
2021-10-02,405,532.8685049479284,,
2021-10-03,397,532.7645652350884,,
2021-10-04,391,532.6609398304386,,
2021-10-05,389,532.5576277835276,,
2021-10-06,389,532.4546281467782,,
2021-10-07,386,532.3519399754788,,
2021-10-08,383,532.2495623277741,,
2021-10-09,382,532.1474942646573,,
2021-10-10,376,532.0457348499611,,
2021-10-11,369,531.9442831503488,,
2021-10-12,361,531.8431382353065,,
2021-10-13,349,531.7422991771338,,
2021-10-14,338,531.6417650509355,,
2021-10-15,331,531.5415349346139,,
2021-10-16,323,531.4416079088588,,
2021-10-17,318,531.3419830571405,,
2021-10-18,315,531.2426594657009,,
2021-10-19,308,531.1436362235446,,
2021-10-20,301,531.0449124224315,,
2021-10-21,301,530.9464871568674,,
2021-10-22,301,530.848359524097,,
2021-10-23,295,530.7505286240942,,
2021-10-24,294,530.652993559555,,
2021-10-25,287,530.5557534358884,,
2021-10-26,285,530.458807361209,,
2021-10-27,272,530.3621544463282,,
2021-10-28,266,530.2657938047462,,
2021-10-29,255,530.1697245526441,,
2021-10-30,248,530.0739458088755,,
